"","target_id","gene","tissue","tpm","binary","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"1456","PGEN_.00g034070","PGEN_.00g034070","gonad",0.114426,1,"A2AL36;A0A4W6;A0A4X1;A2AL37;A2AL40;Q6KAR8;Q8CHX3;Q9CRM3",26920,"Cntrl","Centriolin","Centrosomal protein of 110 kDa","GO:0120103;GO:0005813;GO:0005829;GO:0090543;GO:0072687;GO:0090619;GO:0005815;GO:0097431;GO:0048471;GO:0008092;GO:0035904;GO:0003279;GO:0007049;GO:0060976;GO:0048132;GO:0001822;GO:0051493;GO:0003281","GO:0035904;GO:0003279;GO:0007049;GO:0060976;GO:0048132;GO:0001822;GO:0051493;GO:0003281","GO:0120103;GO:0005813;GO:0005829;GO:0090543;GO:0072687;GO:0090619;GO:0005815;GO:0097431;GO:0048471","GO:0008092","GO:0048856;GO:0048856;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0007010;GO:0048856","anatomical structure development;anatomical structure development;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;cytoskeleton organization;anatomical structure development"
"1462","PGEN_.00g034340","PGEN_.00g034340","gonad",5.890298,1,"Q00168;Q59DP1;Q59DP2;Q9V495",43828,"CaMKII","Calcium/calmodulin-dependent protein kinase type II alpha chain","Rostral cerebellar malformation protein","GO:0030424;GO:0005737;GO:0030425;GO:0043005;GO:0045211;GO:0048786;GO:0005524;GO:0005516;GO:0004683;GO:0106310;GO:0004674;GO:0004712;GO:0009267;GO:0007268;GO:0007619;GO:0007611;GO:0007616;GO:0008049;GO:0001818;GO:0010888;GO:0007528;GO:1990443;GO:0032226;GO:0006468;GO:0051489;GO:0060278;GO:0008582","GO:0009267;GO:0007268;GO:0007619;GO:0007611;GO:0007616;GO:0008049;GO:0001818;GO:0010888;GO:0007528;GO:1990443;GO:0032226;GO:0006468;GO:0051489;GO:0060278;GO:0008582","GO:0030424;GO:0005737;GO:0030425;GO:0043005;GO:0045211;GO:0048786","GO:0005524;GO:0005516;GO:0004683;GO:0106310;GO:0004674;GO:0004712","GO:0023052;GO:0022414;GO:0050877;GO:0050877;GO:0022414;GO:0034330;GO:0023052;GO:0022414;GO:0034330;GO:0048856","signaling;reproductive process;nervous system process;nervous system process;reproductive process;cell junction organization;signaling;reproductive process;cell junction organization;anatomical structure development"
"1473","PGEN_.00g034590","PGEN_.00g034590","gonad",2.253098,1,"Q13472;A8KA61;B4DK80;D3DXC7;Q13473",7156,"TOP3A","DNA topoisomerase 3-alpha","DNA topoisomerase III alpha","GO:0005759;GO:0005654;GO:0005634;GO:0016605;GO:0031422;GO:0003677;GO:0003916;GO:0003917;GO:0003697;GO:0008270;GO:0051304;GO:0006265;GO:0000724;GO:0051321;GO:0032042;GO:0071139","GO:0051304;GO:0006265;GO:0000724;GO:0051321;GO:0032042;GO:0071139","GO:0005759;GO:0005654;GO:0005634;GO:0016605;GO:0031422","GO:0003677;GO:0003916;GO:0003917;GO:0003697;GO:0008270","GO:0007059;GO:0006281;GO:0006310;GO:0022414;GO:0007005;GO:0006310","chromosome segregation;DNA repair;DNA recombination;reproductive process;mitochondrion organization;DNA recombination"
"1477","PGEN_.00g034740","PGEN_.00g034740","gonad",4.612131,1,"Q9V3L1",38736,"sfl","Heparan sulfate N-sulfotransferase","Sulfateless","GO:0005783;GO:0005794;GO:0000137;GO:0000139;GO:0016021;GO:0015016;GO:0019213;GO:0102140;GO:0008146;GO:0007427;GO:0008543;GO:0006024;GO:0015012;GO:0015014;GO:0030210;GO:0008587;GO:0007474;GO:0007509;GO:0045570;GO:0007367;GO:0007283;GO:0006790;GO:0016055","GO:0007427;GO:0008543;GO:0006024;GO:0015012;GO:0015014;GO:0030210;GO:0008587;GO:0007474;GO:0007509;GO:0045570;GO:0007367;GO:0007283;GO:0006790;GO:0016055","GO:0005783;GO:0005794;GO:0000137;GO:0000139;GO:0016021","GO:0015016;GO:0019213;GO:0102140;GO:0008146","GO:0048856;GO:0048870;GO:0023052;GO:1901135;GO:1901135;GO:0005975;GO:1901135;GO:0006790;GO:1901135;GO:0048856;GO:0048856;GO:0048856;GO:0048870;GO:0048856;GO:0048856;GO:0022414;GO:0023052","anatomical structure development;cell motility;signaling;carbohydrate derivative metabolic process;carbohydrate derivative metabolic process;carbohydrate metabolic process;carbohydrate derivative metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;anatomical structure development;anatomical structure development;anatomical structure development;cell motility;anatomical structure development;anatomical structure development;reproductive process;signaling"
"1485","PGEN_.00g034960","PGEN_.00g034960","gonad",7.103354,1,"P82094;B7ZLJ2;Q17R87;Q59GK0",7110,"TMF1","TATA element modulatory factor","Androgen receptor-associated protein of 160 kDa","GO:0005829;GO:0005783;GO:0005794;GO:0000139;GO:0005634;GO:0050681;GO:0003677;GO:0030374;GO:0001675;GO:0030521;GO:0042742;GO:0030317;GO:0033327;GO:0032275;GO:0043066;GO:0010629;GO:0001819;GO:2000845;GO:0045944;GO:0061136;GO:0007289","GO:0001675;GO:0030521;GO:0042742;GO:0030317;GO:0033327;GO:0032275;GO:0043066;GO:0010629;GO:0001819;GO:2000845;GO:0045944;GO:0061136;GO:0007289","GO:0005829;GO:0005783;GO:0005794;GO:0000139;GO:0005634","GO:0050681;GO:0003677;GO:0030374","GO:0022414;GO:0030154;GO:0048856;GO:0023052;GO:0098542;GO:0007018;GO:0022414;GO:0048870;GO:0022414;GO:0030154;GO:0048856;GO:0023052;GO:0050886;GO:0012501;GO:0023052;GO:0006351;GO:0006355;GO:0030163;GO:0022414;GO:0030154;GO:0048856","reproductive process;cell differentiation;anatomical structure development;signaling;defense response to other organism;microtubule-based movement;reproductive process;cell motility;reproductive process;cell differentiation;anatomical structure development;signaling;endocrine process;programmed cell death;signaling;DNA-templated transcription;regulation of DNA-templated transcription;protein catabolic process;reproductive process;cell differentiation;anatomical structure development"
"1496","PGEN_.00g035180","PGEN_.00g035180","gonad",25.715749,1,"P56597;B2R5G7",8382,"NME5","Nucleoside diphosphate kinase homolog 5","nm23-H5","GO:0005929;GO:0005576;GO:0036126;GO:0004550;GO:0060271;GO:0006241;GO:0003351;GO:0006183;GO:1902176;GO:0009116;GO:0007286;GO:0007283;GO:0006228;GO:0021591","GO:0060271;GO:0006241;GO:0003351;GO:0006183;GO:1902176;GO:0009116;GO:0007286;GO:0007283;GO:0006228;GO:0021591","GO:0005929;GO:0005576;GO:0036126","GO:0004550","GO:0044782;GO:0055086;GO:1901135;GO:0007018;GO:0055086;GO:1901135;GO:0012501;GO:0023052;GO:0055086;GO:1901135;GO:0022414;GO:0030154;GO:0048856;GO:0022414;GO:0055086;GO:1901135;GO:0048856","cilium organization;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;microtubule-based movement;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;programmed cell death;signaling;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;reproductive process;cell differentiation;anatomical structure development;reproductive process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;anatomical structure development"
"1500","PGEN_.00g035360","PGEN_.00g035360","gonad",6.516632,1,"D3ZKD3",303193,"Alkbh5","RNA demethylase ALKBH5","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5","GO:0005829;GO:0005794;GO:0016607;GO:0005634;GO:0016706;GO:0046872;GO:1990931;GO:0035515;GO:0030154;GO:0006406;GO:0006397;GO:0035553;GO:0043488;GO:0001666;GO:0007283","GO:0030154;GO:0006406;GO:0006397;GO:0035553;GO:0043488;GO:0001666;GO:0007283","GO:0005829;GO:0005794;GO:0016607;GO:0005634","GO:0016706;GO:0046872;GO:1990931;GO:0035515","GO:0006913;GO:0016071;GO:0016071;GO:0022414","nucleocytoplasmic transport;mRNA metabolic process;mRNA metabolic process;reproductive process"
"1508","PGEN_.00g035750","PGEN_.00g035750","gonad",0.062709,1,"P48181;O02520;O02600;Q94014",172703,"unc-29","Acetylcholine receptor subunit beta-type unc-29","Uncoordinated protein 29","GO:0005887;GO:0043005;GO:0043025;GO:0045211;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0040011;GO:0050877;GO:0007274;GO:0014057;GO:0090326;GO:0042391;GO:0006937;GO:0046662;GO:0043051;GO:0007165","GO:0007268;GO:0034220;GO:0040011;GO:0050877;GO:0007274;GO:0014057;GO:0090326;GO:0042391;GO:0006937;GO:0046662;GO:0043051;GO:0007165","GO:0005887;GO:0043005;GO:0043025;GO:0045211;GO:0045202","GO:0022848;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0023052;GO:0023052;GO:0003012;GO:0022414;GO:0023052","signaling;transmembrane transport;signaling;signaling;muscle system process;reproductive process;signaling"
"1514","PGEN_.00g035900","PGEN_.00g035900","gonad",4.329715,1,"Q9NTG1;B1AJY3;O95850",10343,"PKDREJ","Polycystic kidney disease and receptor for egg jelly-related protein","PKD and REJ homolog","GO:0016021;GO:0016020;GO:0005262;GO:0005509;GO:0007340;GO:0050982","GO:0007340;GO:0050982","GO:0016021;GO:0016020","GO:0005262;GO:0005509","GO:0022414","reproductive process"
"1515","PGEN_.00g035910","PGEN_.00g035910","gonad",13.563406,1,"Q9ULJ6;Q5JSH9;Q7Z7E6",57178,"ZMIZ1","Zinc finger MIZ domain-containing protein 1","Retinoic acid-induced protein 17","GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0030374;GO:0046332;GO:0003713;GO:0008270;GO:0030521;GO:0048844;GO:0007569;GO:0048589;GO:0045815;GO:0003007;GO:0001701;GO:0048146;GO:0045747;GO:1903508;GO:0045582;GO:0045944;GO:0021852;GO:0033233;GO:0006357;GO:0060395;GO:0007179;GO:0001570;GO:0007296","GO:0030521;GO:0048844;GO:0007569;GO:0048589;GO:0045815;GO:0003007;GO:0001701;GO:0048146;GO:0045747;GO:1903508;GO:0045582;GO:0045944;GO:0021852;GO:0033233;GO:0006357;GO:0060395;GO:0007179;GO:0001570;GO:0007296","GO:0005737;GO:0005829;GO:0005654;GO:0005634","GO:0030374;GO:0046332;GO:0003713;GO:0008270","GO:0023052;GO:0048856;GO:0006325;GO:0048856;GO:0048856;GO:0023052;GO:0002376;GO:0007155;GO:0030154;GO:0048856;GO:0006351;GO:0006355;GO:0030154;GO:0048856;GO:0048870;GO:0006351;GO:0006355;GO:0023052;GO:0023052;GO:0030154;GO:0048856;GO:0022414","signaling;anatomical structure development;chromatin organization;anatomical structure development;anatomical structure development;signaling;immune system process;cell adhesion;cell differentiation;anatomical structure development;DNA-templated transcription;regulation of DNA-templated transcription;cell differentiation;anatomical structure development;cell motility;DNA-templated transcription;regulation of DNA-templated transcription;signaling;signaling;cell differentiation;anatomical structure development;reproductive process"
"1537","PGEN_.00g036810","PGEN_.00g036810","gonad",2.702685,1,"P56079;Q9VSE0",43950,"Cds","Phosphatidate cytidylyltransferase photoreceptor-specific","CTP:phosphatidate cytidylyltransferase","GO:0005789;GO:0016021;GO:0004605;GO:0016024;GO:0008610;GO:0010868;GO:0007602;GO:0010513;GO:0010883;GO:0016056;GO:0007291;GO:0007430;GO:0043052;GO:0007601","GO:0016024;GO:0008610;GO:0010868;GO:0007602;GO:0010513;GO:0010883;GO:0016056;GO:0007291;GO:0007430;GO:0043052;GO:0007601","GO:0005789;GO:0016021","GO:0004605","GO:0006629;GO:0006629;GO:0006629;GO:0023052;GO:0006629;GO:0023052;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0050877","lipid metabolic process;lipid metabolic process;lipid metabolic process;signaling;lipid metabolic process;signaling;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;nervous system process"
"1543","PGEN_.00g036930","PGEN_.00g036930","gonad",11.264967,1,"Q8BJW7",268465,"Eme1","Crossover junction endonuclease EME1","Speckled-like pattern in the germinal center","GO:0000785;GO:0000792;GO:0048476;GO:0005730;GO:0003677;GO:0004519;GO:0046872;GO:0006302;GO:0031573;GO:0031297;GO:0000712;GO:0072429","GO:0006302;GO:0031573;GO:0031297;GO:0000712;GO:0072429","GO:0000785;GO:0000792;GO:0048476;GO:0005730","GO:0003677;GO:0004519;GO:0046872","GO:0006281;GO:0000278;GO:0023052;GO:0006260;GO:0006310;GO:0007059;GO:0022414;GO:0140013","DNA repair;mitotic cell cycle;signaling;DNA replication;DNA recombination;chromosome segregation;reproductive process;meiotic nuclear division"
"1551","PGEN_.00g037020","PGEN_.00g037020","gonad",1.99138,1,"A6N7Y9",416804,"PIWIL1","Piwi-like protein 1","p150 target of rapamycin (TOR)-scaffold protein","GO:0033391;GO:0005737;GO:0097433;GO:0005634;GO:0043186;GO:0004521;GO:0046872;GO:0003729;GO:0140262;GO:0034584;GO:1905538;GO:0019901;GO:0003727;GO:0031047;GO:0051321;GO:0010529;GO:0034587;GO:0006417;GO:0007286;GO:0007283;GO:0035093","GO:0031047;GO:0051321;GO:0010529;GO:0034587;GO:0006417;GO:0007286;GO:0007283;GO:0035093","GO:0033391;GO:0005737;GO:0097433;GO:0005634;GO:0043186","GO:0004521;GO:0046872;GO:0003729;GO:0140262;GO:0034584;GO:1905538;GO:0019901;GO:0003727","GO:0022414;GO:0022414;GO:0030154;GO:0048856;GO:0022414","reproductive process;reproductive process;cell differentiation;anatomical structure development;reproductive process"
"1562","PGEN_.00g037170","PGEN_.00g037170","gonad",62.346662,1,"Q9BXF9;B2RAS7;D3DTT0;Q8N5R5;Q96M48",64518,"TEKT3","Tektin-3","Nucleotide-binding protein 1-A","GO:0002080;GO:0070062;GO:0015630;GO:0005634;GO:0002081;GO:0036126;GO:0060271;GO:0060294;GO:0030317;GO:0060378","GO:0060271;GO:0060294;GO:0030317;GO:0060378","GO:0002080;GO:0070062;GO:0015630;GO:0005634;GO:0002081;GO:0036126","","GO:0044782;GO:0007018;GO:0048870;GO:0007018;GO:0022414;GO:0048870;GO:0022414","cilium organization;microtubule-based movement;cell motility;microtubule-based movement;reproductive process;cell motility;reproductive process"
"1596","PGEN_.00g038220","PGEN_.00g038220","gonad",1.436635,1,"P55213;P70543;P97699;Q62993",25402,"Casp3","Caspase-3 subunit p12","SREBP cleavage activity 1","GO:0005737;GO:0005829;GO:0031264;GO:0045121;GO:0043025;GO:0005634;GO:0004190;GO:0004861;GO:0004197;GO:0097153;GO:0097199;GO:0097200;GO:0008234;GO:0005123;GO:0004175;GO:0008233;GO:0016005;GO:0002020;GO:0044877;GO:0061713;GO:0006915;GO:0007413;GO:0001782;GO:0045165;GO:0006974;GO:0071407;GO:0071310;GO:0072734;GO:0030218;GO:0097194;GO:0034349;GO:0007507;GO:0021766;GO:0035556;GO:0008627;GO:0030216;GO:0007611;GO:0071887;GO:0001554;GO:0046007;GO:0043066;GO:0030889;GO:0045786;GO:0045736;GO:0051402;GO:0030182;GO:0048011;GO:1902004;GO:0043065;GO:0043525;GO:0016485;GO:0006508;GO:0031647;GO:0043200;GO:0046677;GO:0032025;GO:0032355;GO:0051384;GO:0009749;GO:0042542;GO:0001666;GO:0032496;GO:0010038;GO:0035094;GO:0014070;GO:0010033;GO:0009411;GO:0009611;GO:0010165;GO:0009410;GO:0007605;GO:0051146;GO:0043029;GO:0042060","GO:0061713;GO:0006915;GO:0007413;GO:0001782;GO:0045165;GO:0006974;GO:0071407;GO:0071310;GO:0072734;GO:0030218;GO:0097194;GO:0034349;GO:0007507;GO:0021766;GO:0035556;GO:0008627;GO:0030216;GO:0007611;GO:0071887;GO:0001554;GO:0046007;GO:0043066;GO:0030889;GO:0045786;GO:0045736;GO:0051402;GO:0030182;GO:0048011;GO:1902004;GO:0043065;GO:0043525;GO:0016485;GO:0006508;GO:0031647;GO:0043200;GO:0046677;GO:0032025;GO:0032355;GO:0051384;GO:0009749;GO:0042542;GO:0001666;GO:0032496;GO:0010038;GO:0035094;GO:0014070;GO:0010033;GO:0009411;GO:0009611;GO:0010165;GO:0009410;GO:0007605;GO:0051146;GO:0043029;GO:0042060","GO:0005737;GO:0005829;GO:0031264;GO:0045121;GO:0043025;GO:0005634","GO:0004190;GO:0004861;GO:0004197;GO:0097153;GO:0097199;GO:0097200;GO:0008234;GO:0005123;GO:0004175;GO:0008233;GO:0016005;GO:0002020;GO:0044877","GO:0048856;GO:0012501;GO:0030154;GO:0048856;GO:0002376;GO:0030154;GO:0002376;GO:0030154;GO:0048856;GO:0012501;GO:0012501;GO:0048856;GO:0048856;GO:0023052;GO:0012501;GO:0023052;GO:0030154;GO:0048856;GO:0050877;GO:0012501;GO:0022414;GO:0048856;GO:0002376;GO:0007155;GO:0012501;GO:0002376;GO:0012501;GO:0030154;GO:0048856;GO:0023052;GO:0012501;GO:0012501;GO:0051604;GO:0050877;GO:0030154;GO:0048856;GO:0002376","anatomical structure development;programmed cell death;cell differentiation;anatomical structure development;immune system process;cell differentiation;immune system process;cell differentiation;anatomical structure development;programmed cell death;programmed cell death;anatomical structure development;anatomical structure development;signaling;programmed cell death;signaling;cell differentiation;anatomical structure development;nervous system process;programmed cell death;reproductive process;anatomical structure development;immune system process;cell adhesion;programmed cell death;immune system process;programmed cell death;cell differentiation;anatomical structure development;signaling;programmed cell death;programmed cell death;protein maturation;nervous system process;cell differentiation;anatomical structure development;immune system process"
"1614","PGEN_.00g038710","PGEN_.00g038710","gonad",2.15746,1,"P97819;Q99LA9;Q9JK61",53357,"Pla2g6","85/88 kDa calcium-independent phospholipase A2","Patatin-like phospholipase domain-containing protein 9","GO:0034451;GO:0005829;GO:0005615;GO:0016021;GO:0005739;GO:0005886;GO:0031143;GO:0003847;GO:0043008;GO:0047499;GO:0005516;GO:0042802;GO:0004622;GO:0102991;GO:0016290;GO:0102545;GO:0019901;GO:0017171;GO:0019731;GO:0035965;GO:0032049;GO:0006935;GO:0060135;GO:0007613;GO:0051967;GO:0046473;GO:0034638;GO:0046338;GO:0046469;GO:0090238;GO:2000304;GO:0007204;GO:0045921;GO:0035774;GO:0090037;GO:0001934;GO:0090200;GO:1901339;GO:0034976;GO:0014832;GO:0042311","GO:0019731;GO:0035965;GO:0032049;GO:0006935;GO:0060135;GO:0007613;GO:0051967;GO:0046473;GO:0034638;GO:0046338;GO:0046469;GO:0090238;GO:2000304;GO:0007204;GO:0045921;GO:0035774;GO:0090037;GO:0001934;GO:0090200;GO:1901339;GO:0034976;GO:0014832;GO:0042311","GO:0034451;GO:0005829;GO:0005615;GO:0016021;GO:0005739;GO:0005886;GO:0031143","GO:0003847;GO:0043008;GO:0047499;GO:0005516;GO:0042802;GO:0004622;GO:0102991;GO:0016290;GO:0102545;GO:0019901;GO:0017171","GO:0002376;GO:0098542;GO:0006629;GO:0006629;GO:0022414;GO:0050877;GO:0023052;GO:0006629;GO:0006629;GO:0006629;GO:0006629;GO:0006629;GO:0016192;GO:0023052;GO:0023052;GO:0007005;GO:0012501;GO:0023052;GO:0055085;GO:0003012;GO:0003013","immune system process;defense response to other organism;lipid metabolic process;lipid metabolic process;reproductive process;nervous system process;signaling;lipid metabolic process;lipid metabolic process;lipid metabolic process;lipid metabolic process;lipid metabolic process;vesicle-mediated transport;signaling;signaling;mitochondrion organization;programmed cell death;signaling;transmembrane transport;muscle system process;circulatory system process"
"1626","PGEN_.00g038850","PGEN_.00g038850","gonad",0.437172,1,"Q9Z0T6",NA,"Pkdrej","Polycystic kidney disease and receptor for egg jelly-related protein","PKD and REJ homolog","GO:0016021;GO:0016020;GO:0005886;GO:0005262;GO:0005509;GO:0050982;GO:0060046","GO:0050982;GO:0060046","GO:0016021;GO:0016020;GO:0005886","GO:0005262;GO:0005509","GO:0022414","reproductive process"
"1627","PGEN_.00g038890","PGEN_.00g038890","gonad",4.517293,1,"Q96IK5;Q9H826;Q9H8V7;Q9H927",64395,"GMCL1","Germ cell-less protein-like 1","Spermatogenesis-associated protein 29","GO:0016363;GO:0005634;GO:0042802;GO:0007281;GO:0007283","GO:0007281;GO:0007283","GO:0016363;GO:0005634","GO:0042802","GO:0022414;GO:0030154;GO:0048856;GO:0022414","reproductive process;cell differentiation;anatomical structure development;reproductive process"
"1639","PGEN_.00g039200","PGEN_.00g039200","gonad",11.474419,1,"Q2NKU0",618018,"CENPX","Centromere protein X","Stimulated by retinoic acid gene 13 protein homolog","GO:0071821;GO:0043240;GO:0000776;GO:0003690;GO:0051301;GO:0006281;GO:0051382;GO:0031297;GO:0000712","GO:0051301;GO:0006281;GO:0051382;GO:0031297;GO:0000712","GO:0071821;GO:0043240;GO:0000776","GO:0003690","GO:0065003;GO:0006260;GO:0006310;GO:0007059;GO:0022414;GO:0140013","protein-containing complex assembly;DNA replication;DNA recombination;chromosome segregation;reproductive process;meiotic nuclear division"
"1675","PGEN_.00g040240","PGEN_.00g040240","gonad",9.650875,1,"Q9VT65;A9UN95;O96454",39165,"CalpB","Calpain-B catalytic subunit 2","Calcium-activated neutral proteinase B","GO:0005737;GO:0016020;GO:0005509;GO:0004198;GO:0007298;GO:0016322;GO:0016540;GO:0006508","GO:0007298;GO:0016322;GO:0016540;GO:0006508","GO:0005737;GO:0016020","GO:0005509;GO:0004198","GO:0022414;GO:0030154;GO:0048856;GO:0048870;GO:0030154;GO:0048856;GO:0051604","reproductive process;cell differentiation;anatomical structure development;cell motility;cell differentiation;anatomical structure development;protein maturation"
"1714","PGEN_.00g041420","PGEN_.00g041420","gonad",16.837689,1,"O00124;Q7Z6F2",7993,"UBXN8","UBX domain-containing protein 8","UBX domain-containing protein 6","GO:0005783;GO:0030176;GO:0005730;GO:0005654;GO:0000151;GO:0030674;GO:0007338;GO:0030433","GO:0007338;GO:0030433","GO:0005783;GO:0030176;GO:0005730;GO:0005654;GO:0000151","GO:0030674","GO:0022414;GO:0030163","reproductive process;protein catabolic process"
"1727","PGEN_.00g041570","PGEN_.00g041570","gonad",2.955743,1,"Q9JIM0",64046,"Mre11","Double-strand break repair protein MRE11","Meiotic recombination 11 homolog A","GO:0000785;GO:0000781;GO:0000794;GO:0005737;GO:0030870;GO:0005654;GO:0005634;GO:0048471;GO:0016605;GO:0005657;GO:0035861;GO:0008408;GO:0008296;GO:0008409;GO:0004520;GO:0042802;GO:0030145;GO:0008022;GO:0000014;GO:0008283;GO:0006974;GO:0051276;GO:0032508;GO:0110025;GO:0006302;GO:0000724;GO:0006303;GO:0007507;GO:0007129;GO:0042138;GO:0097552;GO:0007095;GO:0031573;GO:0043066;GO:0046597;GO:0033674;GO:0031954;GO:0032206;GO:0007062;GO:0000723;GO:0031860","GO:0008283;GO:0006974;GO:0051276;GO:0032508;GO:0110025;GO:0006302;GO:0000724;GO:0006303;GO:0007507;GO:0007129;GO:0042138;GO:0097552;GO:0007095;GO:0031573;GO:0043066;GO:0046597;GO:0033674;GO:0031954;GO:0032206;GO:0007062;GO:0000723;GO:0031860","GO:0000785;GO:0000781;GO:0000794;GO:0005737;GO:0030870;GO:0005654;GO:0005634;GO:0048471;GO:0016605;GO:0005657;GO:0035861","GO:0008408;GO:0008296;GO:0008409;GO:0004520;GO:0042802;GO:0030145;GO:0008022;GO:0000014","GO:0006260;GO:0006281;GO:0006281;GO:0006310;GO:0006281;GO:0048856;GO:0007059;GO:0022414;GO:0140013;GO:0022414;GO:0006281;GO:0006310;GO:0000278;GO:0023052;GO:0000278;GO:0023052;GO:0012501;GO:0032200;GO:0007059;GO:0032200;GO:0032200","DNA replication;DNA repair;DNA repair;DNA recombination;DNA repair;anatomical structure development;chromosome segregation;reproductive process;meiotic nuclear division;reproductive process;DNA repair;DNA recombination;mitotic cell cycle;signaling;mitotic cell cycle;signaling;programmed cell death;telomere organization;chromosome segregation;telomere organization;telomere organization"
"1728","PGEN_.00g041580","PGEN_.00g041580","gonad",20.167254,1,"Q7ZWE3",334956,"larp7","La-related protein 7","La ribonucleoprotein domain family member 7","GO:0005654;GO:0005634;GO:1990904;GO:0030532;GO:0097322;GO:0003723;GO:0017070;GO:0000494;GO:0061026;GO:0030154;GO:0006397;GO:1904871;GO:1905382;GO:0060043;GO:0048024;GO:0008380;GO:0007283;GO:1990438","GO:0000494;GO:0061026;GO:0030154;GO:0006397;GO:1904871;GO:1905382;GO:0060043;GO:0048024;GO:0008380;GO:0007283;GO:1990438","GO:0005654;GO:0005634;GO:1990904;GO:0030532","GO:0097322;GO:0003723;GO:0017070","GO:0048856;GO:0016071;GO:0006351;GO:0006355;GO:0016073;GO:0048856;GO:0016071;GO:0022414;GO:0016073","anatomical structure development;mRNA metabolic process;DNA-templated transcription;regulation of DNA-templated transcription;snRNA metabolic process;anatomical structure development;mRNA metabolic process;reproductive process;snRNA metabolic process"
"1741","PGEN_.00g041840","PGEN_.00g041840","gonad",12.011041,1,"Q24342;Q9VP97",40314,"fng","Fringe glycosyltransferase","O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","GO:0005737;GO:0005783;GO:0005794;GO:0005797;GO:0005795;GO:0030173;GO:0008375;GO:0046872;GO:0033829;GO:0048749;GO:0001745;GO:0035017;GO:0007450;GO:0036099;GO:0007293;GO:0007480;GO:0036011;GO:0008587;GO:0007476;GO:0045746;GO:0030707;GO:0045747;GO:0006486;GO:0008593;GO:0043393;GO:0048100;GO:0048190","GO:0048749;GO:0001745;GO:0035017;GO:0007450;GO:0036099;GO:0007293;GO:0007480;GO:0036011;GO:0008587;GO:0007476;GO:0045746;GO:0030707;GO:0045747;GO:0006486;GO:0008593;GO:0043393;GO:0048100;GO:0048190","GO:0005737;GO:0005783;GO:0005794;GO:0005797;GO:0005795;GO:0030173","GO:0008375;GO:0046872;GO:0033829","GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0023052;GO:0022414;GO:0030154;GO:0048856;GO:0023052;GO:1901135;GO:0023052;GO:0048856;GO:0048856","anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;signaling;reproductive process;cell differentiation;anatomical structure development;signaling;carbohydrate derivative metabolic process;signaling;anatomical structure development;anatomical structure development"
"1752","PGEN_.00g042150","PGEN_.00g042150","gonad",21.557995,1,"P25867;Q9VFG6",41785,"eff","Ubiquitin-conjugating enzyme E2-17 kDa","Ubiquitin-protein ligase","GO:0005829;GO:0005634;GO:0005524;GO:0061631;GO:0031625;GO:0031145;GO:0051276;GO:0001745;GO:0001751;GO:0048132;GO:0030718;GO:0007140;GO:0000278;GO:0045879;GO:0016322;GO:0061057;GO:0097039;GO:0000209;GO:0016567;GO:0031647;GO:0045676;GO:0006511","GO:0031145;GO:0051276;GO:0001745;GO:0001751;GO:0048132;GO:0030718;GO:0007140;GO:0000278;GO:0045879;GO:0016322;GO:0061057;GO:0097039;GO:0000209;GO:0016567;GO:0031647;GO:0045676;GO:0006511","GO:0005829;GO:0005634","GO:0005524;GO:0061631;GO:0031625","GO:0030163;GO:0048856;GO:0030154;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0022414;GO:0140013;GO:0023052;GO:0030154;GO:0048856;GO:0002376;GO:0023052;GO:0098542;GO:0030154;GO:0048856;GO:0030163","protein catabolic process;anatomical structure development;cell differentiation;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;reproductive process;meiotic nuclear division;signaling;cell differentiation;anatomical structure development;immune system process;signaling;defense response to other organism;cell differentiation;anatomical structure development;protein catabolic process"
